,Generation,Sequence,Ground_state,Cost
0,1,22231221242222,0.15,-1.172
1,2,23222324131423,0.15,-1.177
2,3,22231324131423,0.13,-1.148
3,4,13132224222314,0.15,-1.183
4,5,21213231242113,0.15,-1.172
5,6,21211231242223,0.2,-1.257
6,7,23131213242113,0.14,-1.169
7,8,23241122142124,0.17,-1.212
8,9,22211131133113,0.16,-1.191
9,10,23131131242223,0.16,-1.194
10,11,21241122141221,0.17,-1.209
11,12,21131123212213,0.15,-1.172
