,Generation,Sequence,Ground_state,Cost
0,1,11232411232112,0.46,-1.852
1,2,21122113111213,0.46,-1.835
2,3,21121311132112,0.46,-1.855
3,4,22112113141211,0.47,-1.901
4,5,21221111132112,0.48,-1.923
5,6,21121411141211,0.47,-1.869
6,7,11121111132112,0.47,-1.88
7,8,11121111131211,0.46,-1.849
8,9,11121111131211,0.48,-1.905
9,10,11111111131112,0.48,-1.927
10,11,11111111132112,0.47,-1.898
11,12,11121111111111,0.46,-1.845
12,13,11121111131111,0.47,-1.883
13,14,11111111131111,0.46,-1.852
14,15,11111111131112,0.45,-1.832
