,Generation,Sequence,Ground_state,Cost
0,1,1621475,0.31,-1.446
1,2,1511312,0.3,-1.438
2,3,7691111,0.3,-1.438
3,4,1561111,0.31,-1.446
4,5,3621111,0.32,-1.48
5,6,1141111,0.32,-1.463
6,7,1181111,0.32,-1.471
7,8,8181118,0.34,-1.511
8,9,8281111,0.34,-1.52
9,10,1681111,0.33,-1.498
10,11,6681111,0.32,-1.476
11,12,1281111,0.33,-1.489
12,13,6681116,0.32,-1.467
