,Count,param,ground_state,nbarx,cost
34,35,"[18.97010924  0.94700306  0.65983365 33.58957608 48.91142794  0.82239079
  0.56089032  0.64440927  0.57872821]",0.5479041916167665,1.312625250501002,-2.2119205298013247
35,36,"[2.63825305e+01 5.15695724e-01 1.00000000e-02 2.74053985e+01
 4.05718023e+01 1.00000000e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00]",0.8592814371257484,0.166,-7.106382978723402
36,37,"[2.92196903e+01 6.16815744e-01 1.00000000e-02 2.92195070e+01
 4.04209869e+01 1.00000000e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00]",0.8632734530938123,0.198,-7.313868613138683
37,38,"[2.66440907e+01 6.28213851e-01 1.00000000e-02 2.75687576e+01
 3.94229700e+01 8.50664147e-01 1.00000000e+00 1.00000000e+00
 1.00000000e+00]",0.8493013972055888,0.202,-6.635761589403974
38,39,"[40.55693159  0.04660483  0.4657812  15.70647294 34.28269757  0.53820803
  0.82689899  0.56221722  0.45128706]",0.0249500998003992,16.59051724137931,-1.0255885363357216
39,40,"[2.62443969e+01 5.08329352e-01 1.00000000e-02 3.31121163e+01
 4.20838229e+01 1.00000000e+00 1.00000000e+00 8.51727907e-01
 1.00000000e+00]",0.841317365269461,0.20440881763527055,-6.301886792452827
40,41,"[2.31968931e+01 5.02445245e-01 1.00000000e-02 3.24435715e+01
 3.86138924e+01 1.00000000e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00]",0.8712574850299402,0.17,-7.7674418604651185
41,42,"[2.71594042e+01 4.71898192e-01 1.00000000e-02 3.24849456e+01
 3.98515870e+01 9.61929402e-01 1.00000000e+00 8.09963777e-01
 1.00000000e+00]",0.8333333333333333,0.3246492985971944,-5.999999999999997
42,43,"[11.29005578  0.8580627   0.62712759 12.81722023 32.32837619  0.26233323
  0.66989591  0.04730179  0.34189696]",0.0249500998003992,27.69574036511156,-1.0255885363357216
43,44,"[2.60257117e+01 5.36073464e-01 1.00000000e-02 3.07149288e+01
 3.99263154e+01 9.65634017e-01 1.00000000e+00 1.00000000e+00
 1.00000000e+00]",0.8652694610778443,0.17034068136272545,-7.422222222222222
