,Generation,Sequence,Ground_state,Cost
0,1,446653,0.47,-1.894
1,2,337573,0.49,-1.961
2,3,631712,0.5,-2.008
3,4,787118,0.5,-1.992
4,5,787718,0.5,-1.992
5,6,865116,0.5,-2.0
6,7,776618,0.5,-1.992
7,8,841716,0.52,-2.092
8,9,741113,0.5,-1.984
9,10,741618,0.51,-2.049
10,11,771618,0.51,-2.057
11,12,881713,0.51,-2.049
12,13,881618,0.5,-1.984
13,14,781618,0.51,-2.024
14,15,781718,0.5,-2.008
15,16,781618,0.52,-2.092
16,17,781618,0.5,-2.008
