,Generation,Sequence,Ground_state,Cost
0,1,21111111211224,0.48,-1.923
1,2,21111111211224,0.49,-1.949
2,3,11111111211124,0.48,-1.905
3,4,11111111111121,0.48,-1.916
4,5,11111111111121,0.48,-1.919
5,6,11111111111121,0.48,-1.934
6,7,11111111111121,0.49,-1.946
7,8,11111111111121,0.47,-1.869
8,9,11111111111121,0.49,-1.961
9,10,11111111111121,0.5,-2.008
10,11,11111111111121,0.49,-1.957
11,12,11111111111121,0.48,-1.931
12,13,11111111111121,0.48,-1.919
13,14,11111111111121,0.5,-1.992
14,15,11111111111121,0.48,-1.905
