,Generation,Sequence,Ground_state,Cost
0,1,22122113231111,0.46,-1.855
1,2,12122113131111,0.47,-1.873
2,3,12121113131111,0.45,-1.828
3,4,12121111131111,0.46,-1.842
4,5,12121111131111,0.47,-1.887
5,6,12121111111111,0.46,-1.852
6,7,12121111111111,0.46,-1.852
7,8,12121111111111,0.46,-1.855
8,9,12121111111111,0.46,-1.862
9,10,12121111111111,0.49,-1.942
10,11,12121111111111,0.45,-1.822
11,12,12121111111111,0.46,-1.862
12,13,12121111111111,0.45,-1.812
13,14,12121111111111,0.45,-1.828
14,15,12121111111111,0.48,-1.923
