,Generation,Sequence,Ground_state,Cost
0,1,13121212142114,0.44,-1.783
1,2,13121212142114,0.44,-1.796
2,3,13121212142114,0.44,-1.789
3,4,13121112142114,0.46,-1.859
4,5,11111112142114,0.47,-1.89
5,6,11111112142114,0.47,-1.883
6,7,11111112142114,0.46,-1.859
7,8,11111112142114,0.48,-1.931
8,9,11111112142111,0.49,-1.946
9,10,11111112142111,0.48,-1.916
10,11,11111112142111,0.49,-1.957
11,12,11111112142111,0.48,-1.927
12,13,11111112142111,0.48,-1.912
13,14,11111112142111,0.47,-1.901
14,15,11111112142111,0.48,-1.912
