,Generation,Sequence,Ground_state,Cost
0,1,24131321112411,0.47,-1.88
1,2,21131321112411,0.49,-1.972
2,3,21131321112411,0.48,-1.934
3,4,21111311111411,0.48,-1.916
4,5,21111311111411,0.49,-1.942
5,6,21111311111411,0.48,-1.938
6,7,21111311111411,0.47,-1.898
7,8,21111311111411,0.48,-1.927
8,9,21111311111411,0.48,-1.916
9,10,21111311111411,0.47,-1.894
10,11,21111311111411,0.48,-1.934
11,12,21111311111411,0.47,-1.887
12,13,21111311111411,0.47,-1.898
13,14,21111311111411,0.47,-1.869
14,15,21111311111411,0.47,-1.869
