,Generation,Sequence,Ground_state,Cost
0,1,13111411222412,0.46,-1.842
1,2,11112414212111,0.46,-1.859
2,3,11111411121211,0.48,-1.938
3,4,11112312112111,0.48,-1.931
4,5,12232111212111,0.48,-1.905
5,6,12212111121211,0.46,-1.835
6,7,12212111121211,0.48,-1.905
7,8,12212312111211,0.49,-1.942
8,9,12232111211211,0.48,-1.931
9,10,12212311121211,0.47,-1.89
10,11,11232111111211,0.5,-1.98
11,12,11212111111221,0.49,-1.946
12,13,11212111111111,0.47,-1.883
13,14,12111112111211,0.48,-1.927
14,15,11211111111211,0.48,-1.912
