,Generation,Sequence,Ground_state,Cost
0,1,4487257,0.34,-1.525
1,2,2224783,0.33,-1.484
2,3,2235184,0.36,-1.573
3,4,4535712,0.35,-1.544
4,5,2257111,0.35,-1.549
5,6,4267314,0.37,-1.593
6,7,6631611,0.36,-1.563
7,8,2267611,0.34,-1.52
8,9,2218811,0.36,-1.568
9,10,2461111,0.35,-1.53
10,11,8661816,0.37,-1.578
11,12,8281811,0.35,-1.544
12,13,6261111,0.36,-1.573
13,14,1481811,0.35,-1.53
14,15,1461811,0.37,-1.588
15,16,1486811,0.37,-1.583
16,17,1666811,0.36,-1.568
17,18,1461811,0.35,-1.544
18,19,1481816,0.35,-1.534
19,20,1481811,0.37,-1.588
