,Generation,Sequence,Ground_state,Cost
0,1,6237211,0.56,-2.272
1,2,7447311,0.56,-2.262
2,3,3272511,0.57,-2.314
3,4,3272411,0.55,-2.222
4,5,2547311,0.58,-2.38
5,6,8572811,0.58,-2.403
6,7,1532111,0.56,-2.293
7,8,4232111,0.56,-2.272
8,9,2156111,0.56,-2.282
9,10,7142111,0.57,-2.325
10,11,6115111,0.56,-2.282
11,12,4182111,0.59,-2.462
12,13,4185111,0.57,-2.325
13,14,6162111,0.58,-2.369
14,15,8162111,0.56,-2.262
15,16,6111111,0.59,-2.45
16,17,6181111,0.57,-2.325
17,18,8181111,0.55,-2.232
18,19,8181111,0.56,-2.252
19,20,8111111,0.57,-2.314
