,Generation,Sequence,Ground_state,Cost
0,1,7277112,0.38,-1.619
1,2,5853118,0.37,-1.598
2,3,3215111,0.39,-1.635
3,4,2121111,0.37,-1.598
4,5,2121111,0.34,-1.52
5,6,5131111,0.37,-1.578
6,7,1151111,0.38,-1.608
7,8,5111111,0.36,-1.573
8,9,6121111,0.38,-1.619
9,10,5131111,0.37,-1.593
10,11,8161111,0.4,-1.673
11,12,6121111,0.39,-1.651
12,13,6121111,0.4,-1.656
13,14,6181111,0.38,-1.619
14,15,6121111,0.41,-1.684
15,16,1181111,0.38,-1.608
16,17,1181111,0.39,-1.64
17,18,1181111,0.39,-1.629
18,19,1181111,0.37,-1.588
19,20,1181111,0.37,-1.578
