,Generation,Sequence,Ground_state,Cost
0,1,1146414,0.67,-3.046
1,2,4855112,0.66,-2.921
2,3,5177115,0.63,-2.715
3,4,6117114,0.63,-2.701
4,5,6158114,0.66,-2.921
5,6,4117116,0.64,-2.745
6,7,6158114,0.65,-2.855
7,8,4157114,0.64,-2.807
8,9,6118114,0.66,-2.904
9,10,6161116,0.64,-2.776
10,11,4151114,0.65,-2.855
11,12,6161114,0.63,-2.73
12,13,4111114,0.63,-2.715
13,14,6151114,0.64,-2.776
14,15,6151114,0.65,-2.823
15,16,6111114,0.66,-2.938
16,17,6111116,0.66,-2.956
17,18,6151114,0.64,-2.745
18,19,6151118,0.64,-2.791
19,20,6151118,0.65,-2.823
