,Generation,Sequence,Ground_state,Cost
0,1,1265462,0.55,-2.202
1,2,1156671,0.57,-2.325
2,3,1762871,0.58,-2.38
3,4,1352111,0.56,-2.252
4,5,1282111,0.57,-2.336
5,6,1734111,0.6,-2.486
6,7,1614111,0.55,-2.232
7,8,1212111,0.55,-2.212
8,9,1216111,0.57,-2.303
9,10,1616111,0.57,-2.336
10,11,1616111,0.58,-2.358
11,12,1611111,0.57,-2.336
12,13,1611111,0.55,-2.212
13,14,1611111,0.55,-2.232
14,15,1611111,0.54,-2.174
15,16,1611111,0.57,-2.314
16,17,1611111,0.55,-2.232
17,18,1611111,0.56,-2.252
18,19,1611111,0.56,-2.262
19,20,1611111,0.55,-2.202
