,Generation,Sequence,Ground_state,Cost
0,1,1361711,0.5,-2.0
1,2,1587211,0.51,-2.041
2,3,1424711,0.53,-2.109
3,4,1195511,0.5,-2.016
4,5,1195511,0.52,-2.083
5,6,1127711,0.52,-2.066
6,7,1153211,0.52,-2.066
7,8,1137711,0.52,-2.092
8,9,1127811,0.53,-2.118
9,10,1123811,0.52,-2.075
10,11,1187411,0.54,-2.164
11,12,1187811,0.52,-2.075
12,13,1153811,0.53,-2.127
13,14,1157211,0.52,-2.066
14,15,1157811,0.51,-2.049
15,16,1153811,0.52,-2.066
16,17,1153811,0.5,-2.016
17,18,1153211,0.52,-2.066
18,19,1153811,0.51,-2.057
19,20,1153811,0.54,-2.183
