,Generation,Sequence,Ground_state,Cost
0,1,7274558,0.62,-2.644
1,2,1549858,0.6,-2.524
2,3,1549213,0.61,-2.55
3,4,1511843,0.59,-2.462
4,5,1514843,0.62,-2.603
5,6,1118512,0.6,-2.524
6,7,1118151,0.61,-2.537
7,8,1114143,0.6,-2.524
8,9,1116251,0.63,-2.672
9,10,1118551,0.61,-2.55
10,11,1118551,0.6,-2.499
11,12,1116586,0.62,-2.603
12,13,1116251,0.6,-2.524
13,14,1116251,0.61,-2.576
14,15,1116551,0.61,-2.537
15,16,1118186,0.6,-2.474
16,17,1116551,0.61,-2.589
17,18,1116586,0.61,-2.576
18,19,1116516,0.63,-2.701
19,20,1118181,0.63,-2.672
