,Generation,Sequence,Ground_state,Cost
0,1,4155115,0.47,-1.894
1,2,2131512,0.48,-1.916
2,3,6115417,0.48,-1.909
3,4,8141817,0.48,-1.909
4,5,8181817,0.47,-1.873
5,6,6171211,0.46,-1.852
6,7,7111811,0.47,-1.887
7,8,3111312,0.46,-1.859
8,9,7111312,0.49,-1.946
9,10,8111312,0.48,-1.931
10,11,3111214,0.48,-1.909
11,12,8111811,0.46,-1.866
12,13,6111312,0.48,-1.909
13,14,8111614,0.47,-1.901
14,15,6111214,0.49,-1.976
15,16,6111216,0.5,-2.016
16,17,6111614,0.47,-1.887
17,18,6111312,0.49,-1.976
18,19,6111616,0.48,-1.923
19,20,8111816,0.48,-1.923
