,Generation,Sequence,Ground_state,Cost
0,1,23221321121313,0.25,-1.327
1,2,11141322131222,0.26,-1.356
2,3,21141412141323,0.24,-1.317
3,4,13131214111413,0.26,-1.345
4,5,13111214111313,0.24,-1.317
5,6,14111414131313,0.25,-1.341
6,7,21111412231412,0.25,-1.338
7,8,21111411231221,0.26,-1.345
8,9,23111111211313,0.27,-1.363
9,10,23111111111313,0.26,-1.345
10,11,21111111111313,0.26,-1.356
11,12,21111111111313,0.26,-1.349
12,13,11111111111313,0.25,-1.331
13,14,11111111111312,0.27,-1.371
14,15,11111111111222,0.25,-1.327
