,Generation,Sequence,Ground_state,Cost
0,1,11211213212223,0.21,-1.273
1,2,11142221142223,0.22,-1.283
2,3,11141223122113,0.24,-1.317
3,4,11211422132113,0.21,-1.273
4,5,11241224242113,0.21,-1.273
5,6,11141214132114,0.24,-1.324
6,7,11111214122113,0.22,-1.286
7,8,11141212212113,0.25,-1.334
8,9,11111213122113,0.23,-1.293
9,10,11141212212113,0.23,-1.3
10,11,11111213122113,0.24,-1.313
11,12,11111213122113,0.23,-1.3
12,13,11111112212113,0.23,-1.293
13,14,11111111112113,0.22,-1.286
14,15,11111111122111,0.26,-1.36
