,Generation,Sequence,Ground_state,Cost
0,1,24112414111112,0.37,-1.578
1,2,11121111131412,0.34,-1.511
2,3,31141111221112,0.32,-1.463
3,4,11131111241112,0.31,-1.442
4,5,11141111241112,0.28,-1.394
5,6,11141111131111,0.29,-1.417
6,7,11121111131111,0.28,-1.382
7,8,11121111131111,0.27,-1.378
8,9,11111111131111,0.25,-1.334
9,10,11111111111111,0.27,-1.367
10,11,11111111111111,0.29,-1.405
11,12,11111111111111,0.28,-1.386
12,13,11111111111111,0.28,-1.39
13,14,11111111111111,0.27,-1.374
14,15,11111111111111,0.26,-1.352
