,Generation,Sequence,Ground_state,Cost
0,1,14212123142323,0.16,-1.191
1,2,24212121142323,0.15,-1.172
2,3,14212321232214,0.14,-1.161
3,4,22212121131421,0.14,-1.164
4,5,14212121142214,0.13,-1.156
5,6,24212121222212,0.16,-1.194
6,7,24212121222212,0.16,-1.191
7,8,12212121222212,0.14,-1.158
8,9,12212121142314,0.15,-1.175
9,10,11212121112314,0.16,-1.189
10,11,11212121111221,0.16,-1.194
11,12,11212111111212,0.16,-1.194
12,13,11111111111123,0.19,-1.232
13,14,11111111111112,0.19,-1.229
14,15,11111111111121,0.2,-1.245
