,Generation,Sequence,Ground_state,Cost
0,1,24111314222413,0.28,-1.382
1,2,14221121242422,0.27,-1.363
2,3,13121122121313,0.25,-1.334
3,4,14121221142122,0.29,-1.401
4,5,13121121242113,0.27,-1.374
5,6,22121122111113,0.27,-1.371
6,7,12121124212113,0.25,-1.341
7,8,14141112111122,0.28,-1.394
8,9,12141314111113,0.27,-1.363
9,10,11111112111122,0.29,-1.405
10,11,12121112211121,0.28,-1.397
11,12,12141114111111,0.27,-1.371
12,13,12121114111111,0.26,-1.356
13,14,12111114111111,0.28,-1.39
14,15,13111114111111,0.3,-1.438
