,i,Seq,ground_state,cost
0,10,2221323122213231222132312221323122213231222132312221323122213231213121312131213121312131213121312131213121312131213121312131213121312131213121132322141114,0.16467065868263475,-1.1971326164874552
1,11,222132312221323122213231222132312221323122213231222132312221323121312131213121312131213121312131213121312131213121312131213121312131213121312113232214111423221322212113,0.20059880239520955,-1.250936329588015
2,12,22213231222132312221323122213231222132312221323122213231222132312131213121312131213121312131213121312131213121312131213121312131213121312131211323221411142322132221211311121424212323,0.21257485029940115,-1.2699619771863118
3,13,2221323122213231222132312221323122213231222132312221323122213231213121312131213121312131213121312131213121312131213121312131213121312131213121132322141114232213222121131112142421232314241421122113,0.27644710578842324,-1.3820689655172416
