,Generation,Sequence,Ground_state,Cost
0,1,6661781,0.67,-3.02
1,2,6661781,0.68,-3.133
2,3,6661781,0.68,-3.143
3,4,6661781,0.69,-3.255
4,5,6681781,0.69,-3.266
5,6,8611781,0.69,-3.183
6,7,6161781,0.69,-3.213
7,8,4681766,0.68,-3.163
8,9,6161781,0.69,-3.213
9,10,6681381,0.68,-3.104
10,11,6681781,0.68,-3.173
11,12,6161781,0.69,-3.266
12,13,6681781,0.69,-3.193
13,14,6681381,0.69,-3.183
14,15,6681381,0.7,-3.353
