,Generation,Sequence,Ground_state,Cost
0,1,1756831,0.62,-2.659
1,2,4562871,0.62,-2.645
2,3,1756831,0.63,-2.716
3,4,7671811,0.62,-2.666
4,5,1211816,0.64,-2.761
5,6,7616511,0.64,-2.792
6,7,7611816,0.63,-2.731
7,8,7611812,0.64,-2.784
8,9,7611116,0.65,-2.872
9,10,7611812,0.64,-2.754
10,11,1611812,0.64,-2.792
11,12,1611516,0.63,-2.731
12,13,1611812,0.64,-2.816
13,14,1611811,0.65,-2.84
14,15,1611811,0.64,-2.808
