,Generation,Sequence,Ground_state,Cost
0,1,31213121311132,0.44,-1.786
1,2,31213121311132,0.44,-1.786
2,3,31213121311132,0.42,-1.731
3,4,31213121311132,0.45,-1.805
4,5,31213121311132,0.46,-1.852
5,6,31213121311132,0.43,-1.761
6,7,31213122311132,0.44,-1.78
7,8,31213123311132,0.38,-1.624
8,9,31213123311132,0.4,-1.667
9,10,31211135311132,0.4,-1.673
10,11,31211135331132,0.46,-1.859
11,12,31211135131132,0.42,-1.719
12,13,31211135231132,0.44,-1.773
13,14,33211135231131,0.47,-1.873
14,15,33211135231131,0.43,-1.743
