,Generation,Sequence,Ground_state,Cost
0,1,21111131213121,0.33,-1.493
1,2,21111131213111,0.37,-1.578
2,3,22111131213111,0.35,-1.549
3,4,22111131213111,0.36,-1.558
4,5,22111131213111,0.32,-1.471
5,6,22112131213111,0.36,-1.573
6,7,22112131213111,0.3,-1.433
7,8,12112134213111,0.36,-1.563
8,9,12112134213111,0.34,-1.511
9,10,12112134213111,0.34,-1.52
10,11,12111134213111,0.35,-1.544
11,12,12111134213111,0.38,-1.608
12,13,12211134213111,0.31,-1.442
13,14,12211134213111,0.35,-1.53
14,15,13211134213111,0.31,-1.459
