,Generation,Sequence,Ground_state,Cost
0,1,21312131313121,0.37,-1.583
1,2,21313131311121,0.39,-1.651
2,3,21313131111121,0.41,-1.684
3,4,21313131111121,0.41,-1.684
4,5,21313131111121,0.4,-1.678
5,6,21313531121121,0.4,-1.678
6,7,21323531121121,0.38,-1.614
7,8,21323531121121,0.37,-1.578
8,9,24323531121121,0.35,-1.534
9,10,24323531121121,0.34,-1.511
10,11,24323531121121,0.35,-1.539
11,12,24123131121121,0.39,-1.64
12,13,24123131121121,0.37,-1.583
13,14,25123121121121,0.36,-1.563
14,15,15123121121111,0.43,-1.767
