,Generation,Sequence,Ground_state,Cost
0,1,31213121312131,0.24,-1.32
1,2,34313121112135,0.3,-1.433
2,3,34313121112135,0.26,-1.36
3,4,34313121112135,0.22,-1.29
4,5,34313121112115,0.27,-1.378
5,6,34311121112115,0.27,-1.378
6,7,34311121112115,0.24,-1.32
7,8,34311121112115,0.27,-1.378
8,9,34311121112115,0.25,-1.327
9,10,32311121112115,0.26,-1.349
10,11,32311121112115,0.27,-1.378
11,12,32251121312111,0.28,-1.386
12,13,12251121312111,0.28,-1.386
13,14,12251121312111,0.3,-1.429
14,15,12251121312111,0.31,-1.459
