,Generation,Sequence,Ground_state,Cost
0,1,21323121243211,0.06,-1.063
1,2,11323131243211,0.11,-1.125
2,3,11123131243211,0.12,-1.14
3,4,11123131243211,0.14,-1.158
4,5,11122131243211,0.13,-1.145
5,6,11112131243211,0.15,-1.183
6,7,11112131243211,0.12,-1.143
7,8,11112131223211,0.16,-1.189
8,9,11112131223211,0.14,-1.169
9,10,11112131223211,0.15,-1.175
10,11,12112131223211,0.13,-1.15
11,12,12112131223211,0.12,-1.135
12,13,12112131223211,0.15,-1.172
13,14,12112131223211,0.17,-1.212
14,15,12112131223211,0.16,-1.191
