,Generation,Sequence,Ground_state,Cost
0,1,31313121312131,0.34,-1.516
1,2,11312121312131,0.32,-1.471
2,3,11312111312111,0.42,-1.731
3,4,11312111312111,0.39,-1.635
4,5,11312111312111,0.38,-1.603
5,6,11312111312111,0.38,-1.608
6,7,11312111312111,0.39,-1.635
7,8,11313111312111,0.37,-1.598
8,9,14313111312111,0.37,-1.583
9,10,14353111312111,0.39,-1.635
10,11,14352111312111,0.32,-1.48
11,12,14352111312111,0.37,-1.583
12,13,14352111312311,0.35,-1.534
13,14,14312111312411,0.34,-1.52
14,15,11312411311411,0.32,-1.463
