,Generation,Sequence,Ground_state,Cost
0,1,42224171166237,0.48,-1.909
1,2,68567143734212,0.45,-1.825
2,3,17567147871713,0.45,-1.819
3,4,87313143731212,0.47,-1.887
4,5,17612143141148,0.48,-1.923
5,6,15614113131148,0.47,-1.901
6,7,17317148111838,0.48,-1.931
7,8,15612131111138,0.45,-1.812
8,9,17317141111181,0.43,-1.761
9,10,15612131111111,0.46,-1.866
10,11,15612131111111,0.47,-1.873
11,12,18314131111111,0.46,-1.866
12,13,17312141111111,0.48,-1.916
13,14,17612141111111,0.44,-1.799
14,15,17612141111111,0.48,-1.923
15,16,17612141111118,0.45,-1.812
16,17,17612141111118,0.46,-1.866
17,18,17612141111118,0.45,-1.832
18,19,17612141111118,0.47,-1.873
19,20,17612141111118,0.45,-1.819
