,Generation,Sequence,Ground_state,Cost
0,1,23232122211224,0.35,-1.544
1,2,12241323141424,0.37,-1.593
2,3,23212121112311,0.37,-1.583
3,4,21321423112213,0.37,-1.598
4,5,23112211212324,0.39,-1.635
5,6,24232121112121,0.38,-1.619
6,7,21111321112224,0.39,-1.64
7,8,23311321112124,0.39,-1.629
8,9,24311111112311,0.41,-1.684
9,10,11312321112111,0.41,-1.701
10,11,11112321112111,0.39,-1.651
11,12,24111321112111,0.41,-1.701
12,13,21111321112111,0.39,-1.635
13,14,21111321113111,0.39,-1.651
14,15,21111121112111,0.42,-1.719
