,Generation,Sequence,Ground_state,Cost
0,1,12141414122224,0.31,-1.446
1,2,11112214112413,0.32,-1.471
2,3,24211422212424,0.31,-1.446
3,4,12141412112121,0.29,-1.413
4,5,34211422212221,0.32,-1.467
5,6,14211422242421,0.32,-1.471
6,7,11132422212121,0.33,-1.489
7,8,21213122242421,0.36,-1.563
8,9,11231211112421,0.28,-1.397
9,10,14211122211421,0.3,-1.438
10,11,11111112242121,0.29,-1.413
11,12,11231322212121,0.29,-1.417
12,13,11111121112121,0.29,-1.417
13,14,11211321212121,0.3,-1.433
14,15,11211121112121,0.3,-1.433
