,Generation,Sequence,Ground_state,Cost
0,1,24242324231321,0.21,-1.273
1,2,14142322211223,0.24,-1.32
2,3,14242112211213,0.25,-1.331
3,4,13142222111123,0.27,-1.367
4,5,13142222111113,0.24,-1.32
5,6,13142222111123,0.27,-1.367
6,7,13142222111112,0.25,-1.331
7,8,22141221211212,0.25,-1.327
8,9,13231112111121,0.28,-1.394
9,10,13111222111112,0.28,-1.39
10,11,13111221211112,0.26,-1.356
11,12,13111121211112,0.26,-1.356
12,13,13131121211212,0.26,-1.352
13,14,13111212111121,0.26,-1.36
14,15,11111212111112,0.26,-1.356
