,Generation,Sequence,Ground_state,Cost
0,1,13323114132221,0.69,-3.222
1,2,13323134133221,0.64,-2.745
2,3,14323134133121,0.69,-3.264
3,4,14323134133121,0.66,-2.973
4,5,34323115131121,0.7,-3.329
5,6,34323115131121,0.69,-3.181
6,7,34223115141121,0.66,-2.956
7,8,34123115141121,0.71,-3.467
8,9,34123115141121,0.72,-3.516
9,10,34123111141121,0.69,-3.243
10,11,34121111141121,0.69,-3.222
11,12,34121131141121,0.69,-3.264
12,13,34121131151121,0.73,-3.753
13,14,34151131151121,0.75,-3.929
14,15,34151131151121,0.68,-3.161
