,Generation,Sequence,Ground_state,Cost
0,1,15313231151422,0.59,-2.426
1,2,15313231151422,0.57,-2.325
2,3,14313231151422,0.57,-2.325
3,4,14313231151422,0.58,-2.369
4,5,14311231151422,0.58,-2.358
5,6,14311211151422,0.59,-2.438
6,7,14311211151422,0.6,-2.524
7,8,11311211151422,0.63,-2.715
8,9,21311211151422,0.65,-2.823
9,10,21311211151422,0.65,-2.855
10,11,11311211151422,0.63,-2.672
11,12,11311215111422,0.64,-2.807
12,13,11351215111522,0.58,-2.391
13,14,13351215111522,0.59,-2.45
14,15,13351215111122,0.62,-2.644
