,Generation,Sequence,Ground_state,Cost
0,1,15142221151432,0.53,-2.109
1,2,15142221111432,0.54,-2.164
2,3,15142221111432,0.5,-2.0
3,4,15142231111432,0.56,-2.252
4,5,15142331111431,0.57,-2.336
5,6,15142331111431,0.54,-2.155
6,7,15142331111431,0.57,-2.303
7,8,15142331111431,0.59,-2.462
8,9,15142331111411,0.55,-2.212
9,10,15142331111421,0.57,-2.325
10,11,15142331111421,0.56,-2.252
11,12,15112331111421,0.58,-2.358
12,13,12112331112421,0.61,-2.55
13,14,32112231112421,0.58,-2.403
14,15,32113231112411,0.56,-2.282
