,Generation,Sequence,Ground_state,Cost
0,1,13323111122221,0.75,-3.929
1,2,21323121122211,0.73,-3.644
2,3,21323121122211,0.73,-3.644
3,4,21323131122211,0.71,-3.467
4,5,25323131122111,0.76,-4.158
5,6,25313131122111,0.77,-4.414
6,7,15313111142111,0.79,-4.704
7,8,35313111142111,0.79,-4.66
8,9,35313111142111,0.79,-4.66
9,10,35313111142111,0.79,-4.794
10,11,32313111142111,0.76,-4.158
11,12,34313411142111,0.77,-4.3
12,13,34313411142111,0.76,-4.192
13,14,34313411142111,0.77,-4.338
14,15,34313411142111,0.76,-4.09
