,Generation,Sequence,Ground_state,Cost
0,1,31213121312131,0.25,-1.327
1,2,31223421311134,0.3,-1.425
2,3,31223421311134,0.29,-1.401
3,4,31323421311134,0.31,-1.446
4,5,31333521311134,0.32,-1.476
5,6,31353521311124,0.32,-1.48
6,7,31353521311124,0.3,-1.421
7,8,31353521311124,0.3,-1.438
8,9,31353521311124,0.29,-1.417
9,10,31353511311124,0.27,-1.367
10,11,31353511311124,0.3,-1.421
11,12,11353511311124,0.3,-1.421
12,13,11353511311124,0.32,-1.48
13,14,11353511311124,0.32,-1.471
14,15,11353511311124,0.31,-1.446
