,Generation,Sequence,Ground_state,Cost
0,1,13222114131231,0.61,-2.563
1,2,13222113131131,0.62,-2.658
2,3,13222123131131,0.63,-2.686
3,4,13222123131111,0.68,-3.121
4,5,13222123131111,0.65,-2.823
5,6,13222123141111,0.69,-3.222
6,7,13222123141111,0.62,-2.658
7,8,13222123141111,0.65,-2.823
8,9,13222123141111,0.64,-2.807
9,10,13222123141111,0.63,-2.73
10,11,13222123141111,0.62,-2.603
11,12,13322125141111,0.65,-2.839
12,13,13322125141111,0.64,-2.745
13,14,33322125141111,0.66,-2.938
14,15,33322125141111,0.62,-2.63
