,Generation,Sequence,Ground_state,Cost
0,1,32311413322124,0.73,-3.67
1,2,32311113332124,0.71,-3.443
2,3,32311113332124,0.72,-3.516
3,4,32312113232115,0.72,-3.541
4,5,32312113132115,0.7,-3.307
5,6,32312113132115,0.74,-3.869
6,7,33312113132111,0.72,-3.591
7,8,35312113132111,0.74,-3.81
8,9,35312112132111,0.75,-3.929
9,10,35312112122111,0.74,-3.81
10,11,25312112122111,0.75,-3.992
11,12,25312112122111,0.76,-4.228
12,13,25312111122111,0.75,-3.992
13,14,25312111122111,0.73,-3.725
14,15,23312111322111,0.75,-3.929
