,Generation,Sequence,Ground_state,Cost
0,1,22211415323114,0.64,-2.76
1,2,22211115323114,0.71,-3.443
2,3,22211115323114,0.71,-3.491
3,4,22211125353114,0.71,-3.443
4,5,22211125353114,0.72,-3.591
5,6,22211125343114,0.68,-3.102
6,7,21211125343114,0.69,-3.201
7,8,24211125343114,0.68,-3.141
8,9,24211125343114,0.67,-3.027
9,10,24211125113114,0.73,-3.644
10,11,25211125113114,0.74,-3.781
11,12,25212125113114,0.73,-3.67
12,13,25212125113114,0.72,-3.566
13,14,25212125113114,0.69,-3.264
14,15,25212125113114,0.72,-3.591
