,Generation,Sequence,Ground_state,Cost
0,1,31213121311131,0.37,-1.583
1,2,31213121311131,0.38,-1.624
2,3,31213121311131,0.39,-1.645
3,4,31213121311131,0.39,-1.651
4,5,31213121311131,0.41,-1.701
5,6,33213121311131,0.39,-1.629
6,7,33213121311131,0.39,-1.64
7,8,33211111311131,0.4,-1.662
8,9,33211111311131,0.37,-1.583
9,10,33211111311131,0.4,-1.673
10,11,33111111351131,0.39,-1.64
11,12,34211111351131,0.43,-1.755
12,13,34211111351131,0.43,-1.761
13,14,31211114351135,0.35,-1.549
14,15,31211114351135,0.4,-1.673
