,Generation,Sequence,Ground_state,Cost
0,1,21151432311413,0.59,-2.438
1,2,21151432313413,0.6,-2.486
2,3,21151432313411,0.65,-2.839
3,4,21151432313411,0.63,-2.701
4,5,21151432313511,0.65,-2.855
5,6,21151432313511,0.63,-2.686
6,7,21341432313511,0.63,-2.701
7,8,21341422313411,0.65,-2.855
8,9,21341422313411,0.63,-2.701
9,10,21343422313411,0.6,-2.499
10,11,21343422313411,0.6,-2.474
11,12,21343422313411,0.64,-2.791
12,13,21343422313411,0.63,-2.686
13,14,21343422313411,0.66,-2.956
14,15,21143421313211,0.65,-2.823
