,Generation,Sequence,Ground_state,Cost
0,1,21312131213121,0.29,-1.405
1,2,21111111213121,0.34,-1.507
2,3,21111111213121,0.35,-1.53
3,4,11111111213121,0.37,-1.583
4,5,14111111213111,0.35,-1.544
5,6,14111111213111,0.34,-1.52
6,7,12211111213111,0.38,-1.608
7,8,12211111213111,0.39,-1.645
8,9,12211111213111,0.38,-1.619
9,10,14211111213111,0.38,-1.619
10,11,14211111213111,0.36,-1.563
11,12,14211111213131,0.31,-1.454
12,13,14211111213131,0.35,-1.539
13,14,14211111213111,0.38,-1.614
14,15,14211111213111,0.38,-1.603
