,Generation,Sequence,Ground_state,Cost
0,1,31151333311511,0.51,-2.049
1,2,31151333312511,0.46,-1.852
2,3,31151333312511,0.46,-1.839
3,4,31151335312111,0.51,-2.049
4,5,11151335312111,0.53,-2.127
5,6,21151325312111,0.48,-1.923
6,7,21151325312111,0.45,-1.832
7,8,21151325312111,0.5,-2.0
8,9,21151325312111,0.49,-1.961
9,10,21151325312111,0.55,-2.212
10,11,23133325312511,0.45,-1.805
11,12,23133325322511,0.49,-1.953
12,13,23133325322511,0.46,-1.859
13,14,23133325312511,0.49,-1.969
14,15,23153325312511,0.48,-1.916
