,Generation,Sequence,Ground_state,Cost
0,1,14223115142221,0.43,-1.761
1,2,34223115112221,0.47,-1.88
2,3,34223115112221,0.44,-1.799
3,4,34233115112221,0.45,-1.819
4,5,34233115112221,0.44,-1.786
5,6,34233115112221,0.49,-1.976
6,7,34233115112221,0.5,-2.016
7,8,34233115112221,0.47,-1.873
8,9,34233111112221,0.44,-1.799
9,10,34333131112221,0.49,-1.969
10,11,34333131112221,0.45,-1.812
11,12,12333131112221,0.42,-1.731
12,13,12333131112221,0.48,-1.923
13,14,12331331112221,0.46,-1.866
14,15,12331531112221,0.46,-1.852
