,Generation,Sequence,Ground_state,Cost
0,1,13222114131231,0.63,-2.686
1,2,13222114131131,0.7,-3.285
2,3,13222114131111,0.66,-2.921
3,4,13222114131111,0.7,-3.329
4,5,13222114131111,0.74,-3.781
5,6,13222114131111,0.71,-3.397
6,7,13222112131311,0.72,-3.591
7,8,13222112131311,0.72,-3.541
8,9,13222112131311,0.69,-3.264
9,10,13222112131311,0.71,-3.443
10,11,13252112131111,0.72,-3.541
11,12,13252112131111,0.74,-3.839
12,13,13252112131211,0.72,-3.566
13,14,12252112131211,0.71,-3.42
14,15,12252112131211,0.73,-3.697
