,Generation,Sequence,Ground_state,Cost
0,1,14222115143221,0.51,-2.057
1,2,15222115143211,0.5,-1.984
2,3,15222115142211,0.5,-1.984
3,4,15122115142211,0.51,-2.024
4,5,15122112142211,0.53,-2.146
5,6,15121112342211,0.57,-2.336
6,7,15121112342211,0.53,-2.118
7,8,15121112342111,0.57,-2.314
8,9,15141212122111,0.55,-2.202
9,10,15121212122111,0.56,-2.272
10,11,15121212122111,0.53,-2.109
11,12,15121212122111,0.55,-2.222
12,13,15121212122111,0.52,-2.075
13,14,15121212122111,0.55,-2.222
14,15,15123211122111,0.52,-2.075
