,Generation,Sequence,Ground_state,Cost
0,1,14132221111332,0.65,-2.888
1,2,14132221112132,0.62,-2.616
2,3,14132231112132,0.62,-2.658
3,4,14112231112132,0.63,-2.701
4,5,24112231112122,0.67,-2.991
5,6,23112231152122,0.63,-2.686
6,7,23112231152122,0.66,-2.904
7,8,23112231112132,0.65,-2.888
8,9,23112231112132,0.67,-3.027
9,10,23112231112132,0.69,-3.222
10,11,23112231112132,0.65,-2.823
11,12,25312231112132,0.67,-2.991
12,13,25312231112132,0.66,-2.904
13,14,25312231112132,0.65,-2.839
14,15,25312231112132,0.7,-3.329
