,Generation,Sequence,Ground_state,Cost
0,1,14132211141323,0.69,-3.264
1,2,14132211141323,0.67,-3.064
2,3,13132211142321,0.71,-3.397
3,4,13132211142321,0.69,-3.264
4,5,13232211132321,0.68,-3.121
5,6,13232221112321,0.68,-3.121
6,7,12232221112321,0.66,-2.938
7,8,12232211312321,0.72,-3.516
8,9,12232211312321,0.7,-3.374
9,10,12232211312321,0.71,-3.443
10,11,12232211112321,0.72,-3.541
11,12,12232211112321,0.7,-3.374
12,13,12232211112321,0.72,-3.591
13,14,12132221112321,0.67,-2.991
14,15,12132221112331,0.75,-3.929
