,Generation,Sequence,Ground_state,Cost
0,1,12323115141221,0.56,-2.272
1,2,12323115111221,0.59,-2.462
2,3,12323115111221,0.6,-2.511
3,4,12313115111221,0.65,-2.855
4,5,12313115111221,0.65,-2.871
5,6,12311115111521,0.62,-2.658
6,7,12211115111521,0.57,-2.347
7,8,12211131111521,0.63,-2.701
8,9,12211131111521,0.62,-2.63
9,10,12211131111511,0.64,-2.807
10,11,32251121111311,0.58,-2.38
11,12,32251121111311,0.6,-2.524
12,13,31251121111311,0.64,-2.76
13,14,31251121111311,0.61,-2.589
14,15,31251121111211,0.63,-2.701
