,Generation,Sequence,Ground_state,Cost
0,1,11121322211413,0.69,-3.201
1,2,11121322211213,0.68,-3.121
2,3,11121322211213,0.68,-3.161
3,4,11122322211213,0.71,-3.491
4,5,21122322111213,0.73,-3.644
5,6,21121321111213,0.74,-3.899
6,7,21121331111211,0.75,-4.024
7,8,21121331111211,0.75,-4.057
8,9,21121331121211,0.74,-3.869
9,10,21111311121211,0.72,-3.516
10,11,21111311121211,0.72,-3.591
11,12,21111311121211,0.71,-3.467
12,13,21111311121211,0.74,-3.839
13,14,21111411121211,0.72,-3.516
14,15,21111411121311,0.72,-3.591
