,Generation,Sequence,Ground_state,Cost
0,1,31213121312131,0.38,-1.619
1,2,31213121312121,0.42,-1.713
2,3,21213121312121,0.43,-1.767
3,4,21213121312121,0.4,-1.667
4,5,21213121312121,0.41,-1.684
5,6,21213121312121,0.43,-1.755
6,7,25213131112121,0.45,-1.832
7,8,25213131112121,0.45,-1.812
8,9,25213131112121,0.44,-1.799
9,10,25213131113121,0.41,-1.707
10,11,25213131113121,0.48,-1.916
11,12,25213131113121,0.38,-1.624
12,13,25213131113121,0.4,-1.673
13,14,25213131113121,0.45,-1.819
14,15,25213125113121,0.46,-1.866
