,Generation,Sequence,Ground_state,Cost
0,1,31131232311112,0.75,-4.057
1,2,31131232351112,0.73,-3.725
2,3,31131232351112,0.74,-3.839
3,4,31131232351112,0.73,-3.753
4,5,31121232351112,0.71,-3.467
5,6,31121432351114,0.76,-4.09
6,7,31152432351114,0.73,-3.644
7,8,31152422351114,0.74,-3.899
8,9,31152122351114,0.75,-3.96
9,10,31152122351114,0.75,-3.96
10,11,21153122351114,0.76,-4.228
11,12,21151122311114,0.77,-4.376
12,13,21151112311114,0.78,-4.618
13,14,21151112311114,0.77,-4.338
14,15,21351112311111,0.82,-5.475
