,Generation,Sequence,Ground_state,Cost
0,1,21141132311413,0.7,-3.351
1,2,21141132341213,0.7,-3.285
2,3,21141132341211,0.74,-3.839
3,4,21141132341211,0.73,-3.67
4,5,21141135341211,0.73,-3.697
5,6,21141135341211,0.7,-3.307
6,7,21341135341211,0.67,-3.064
7,8,21341135341211,0.72,-3.617
8,9,21341135341211,0.72,-3.566
9,10,21321135342211,0.69,-3.264
10,11,21321135342211,0.71,-3.491
11,12,21321135342211,0.74,-3.781
12,13,21321135342211,0.72,-3.617
13,14,21323135342211,0.74,-3.81
14,15,21323135342211,0.73,-3.753
