,Generation,Sequence,Ground_state,Cost
0,1,22211413323114,0.6,-2.499
1,2,12311513323114,0.61,-2.589
2,3,12111513323114,0.62,-2.63
3,4,12111413323114,0.59,-2.462
4,5,12111413323114,0.62,-2.616
5,6,12111413323114,0.62,-2.658
6,7,12111413323114,0.66,-2.973
7,8,12111413323114,0.57,-2.347
8,9,13111413323111,0.65,-2.855
9,10,13111413323111,0.63,-2.73
10,11,13121413323111,0.66,-2.956
11,12,13121413123111,0.68,-3.083
12,13,13121433123111,0.65,-2.839
13,14,11121413123411,0.65,-2.823
14,15,11121413123431,0.61,-2.563
