,Generation,Sequence,Ground_state,Cost
0,1,32311111222114,0.69,-3.181
1,2,32312111222114,0.68,-3.083
2,3,32312111221114,0.71,-3.397
3,4,32312111221114,0.69,-3.222
4,5,32311111221114,0.69,-3.264
5,6,32311111121114,0.71,-3.443
6,7,32311111121114,0.63,-2.715
7,8,32311111121114,0.65,-2.888
8,9,32311131121114,0.69,-3.181
9,10,32311131121114,0.7,-3.351
10,11,32311131121114,0.68,-3.102
11,12,32311131121114,0.69,-3.181
12,13,32311131121114,0.71,-3.467
13,14,32311121121114,0.68,-3.161
14,15,32311121121114,0.65,-2.823
