,Generation,Sequence,Ground_state,Cost
0,1,21332131113121,0.41,-1.701
1,2,21332131113121,0.44,-1.799
2,3,21332131113121,0.42,-1.719
3,4,21332131113121,0.42,-1.731
4,5,21322131113121,0.43,-1.743
5,6,21342131113121,0.41,-1.695
6,7,21342131113121,0.4,-1.678
7,8,21342132113121,0.42,-1.713
8,9,21342132113121,0.42,-1.731
9,10,21342132113511,0.38,-1.619
10,11,21342132113511,0.4,-1.678
11,12,21343132113511,0.39,-1.651
12,13,11343132113311,0.42,-1.725
13,14,11343132113311,0.38,-1.608
14,15,11343132113311,0.37,-1.598
