,Generation,Sequence,Ground_state,Cost
0,1,31151422211514,0.56,-2.252
1,2,31151423211514,0.55,-2.222
2,3,21151423211524,0.55,-2.242
3,4,21152423211524,0.6,-2.524
4,5,21152423231524,0.55,-2.212
5,6,21152423231524,0.56,-2.282
6,7,21152423231524,0.54,-2.164
7,8,21152423231524,0.52,-2.066
8,9,21132523231523,0.55,-2.232
9,10,21132523231523,0.53,-2.146
10,11,21132524231523,0.57,-2.303
11,12,21132524231523,0.53,-2.136
12,13,21133534231523,0.5,-2.0
13,14,21133534231523,0.54,-2.183
14,15,21133531231521,0.53,-2.146
