,Generation,Sequence,Ground_state,Cost
0,1,22213231243111,0.25,-1.331
1,2,22213231243111,0.2,-1.257
2,3,22213231243111,0.22,-1.29
3,4,12213231243111,0.23,-1.306
4,5,12213521243111,0.25,-1.338
5,6,11213521243111,0.29,-1.401
6,7,11213521243111,0.25,-1.327
7,8,11213321243111,0.25,-1.327
8,9,11213321243111,0.29,-1.405
9,10,11213321243111,0.27,-1.374
10,11,11213421243111,0.26,-1.345
11,12,11213421243111,0.29,-1.405
12,13,11213421243111,0.24,-1.313
13,14,11113421243111,0.29,-1.409
14,15,11113421243111,0.3,-1.429
