,Generation,Sequence,Ground_state,Cost
0,1,31121322211413,0.61,-2.563
1,2,11121322211413,0.66,-2.956
2,3,11121322211411,0.66,-2.921
3,4,11121322211411,0.71,-3.42
4,5,11121112231411,0.66,-2.938
5,6,11121112231111,0.67,-3.009
6,7,11121412231211,0.63,-2.672
7,8,11122412331211,0.65,-2.823
8,9,11122112331211,0.69,-3.181
9,10,11222112331211,0.67,-3.027
10,11,11222114331211,0.67,-3.064
11,12,11222114331211,0.67,-3.027
12,13,11222114331211,0.65,-2.888
13,14,11222114331211,0.65,-2.823
14,15,11222114331111,0.67,-3.046
